geohash,hour_temp,geohash_hour_demand_mean
0,1,0.0053969651097159
0,2,0.019452390987216198
0,3,0.0264223751676618
0,6,0.014583812990146749
0,7,0.012256445456985635
0,9,0.0173624610652884
0,10,0.033974094938511404
1,11,0.0294325672228641
2,4,0.003916465292585
2,8,0.0018866761693395
3,2,0.0162829582440916
3,3,0.0111982284104744
3,4,0.023444019173389702
3,5,0.0435315352782388
3,6,0.0564220630725519
3,7,0.028652659454389166
3,8,0.0287684188838966
3,9,0.0179313103195961
3,10,0.05632039232946848
3,11,0.02828085697440197
3,12,0.0254851384402304
3,15,0.05036394831342015
4,0,0.034854566247217056
4,1,0.06481375393459678
4,2,0.060869233527137835
4,3,0.04558498675863268
4,4,0.009995577196556749
4,5,0.020028102503563197
4,6,0.00873384546449375
4,8,0.019275355665691368
4,12,0.0575739874652212
4,13,0.0012173845841896
5,0,0.0302598747774543
5,1,0.01440915078982825
5,2,0.0111752816141808
5,3,0.0017568655196992
5,4,0.0092571996867808
5,5,0.026105362499721597
5,6,0.0395279846311618
5,7,0.021349729244591248
5,9,0.0279934133173811
5,10,0.0301821910065281
5,11,0.0125806121037007
5,12,0.005105535517298543
5,13,0.0119368719679375
5,14,0.0351050729761804
5,16,0.01699562432664777
5,17,0.0154224795804711
6,3,0.0074699949588219
6,5,0.0441335081914785
6,7,0.0019373305363215
6,11,0.0152814977508915
6,12,0.039622000886733864
6,14,0.0066876621716386
7,0,0.01567684789381125
7,1,0.0177820707798015
7,4,0.0330731523154879
7,5,0.03760836224097725
7,6,0.029400766441881228
7,7,0.0209642049394314
7,8,0.059415618230152296
7,9,0.0692447767645682
7,10,0.016036368288136024
7,11,0.03317554267739242
7,12,0.021269385289882065
7,13,0.0514584863804301
7,14,0.073956847875635
8,0,0.00716687515182955
8,1,0.005862358095047166
8,2,0.0703051042500913
8,3,0.02392947584421045
8,4,0.018323018168063233
8,5,0.06628531839982282
8,6,0.0343496433818595
8,7,0.0621593828720035
8,8,0.0852498178534236
8,9,0.0475758768192387
8,10,0.02491156649891693
8,11,0.027999863093688404
8,12,0.05429462542401756
8,13,0.03799267494004867
8,14,0.0116021348211308
9,1,0.0013608642472016
9,3,0.0077073895506832
9,4,0.0750867796325445
9,5,0.019581957600116967
9,6,0.019323270771720132
9,7,0.030509926561747266
9,8,0.0403563695250955
9,9,0.045746348250048974
9,10,0.0199534740482514
9,11,0.07265875220137147
9,12,0.038644526167157627
9,13,0.0199925108707554
9,15,0.0103919007634394
10,0,0.01348774595510175
10,1,0.0173641509489272
10,2,0.0115540609825313
10,4,0.0086841525515179
10,5,0.0116411198082789
10,6,0.0050141147774571
10,7,0.03974165659447045
10,8,0.03774982267185113
10,9,0.049818377553063745
10,10,0.0616964268221054
10,11,0.057288542913362876
10,12,0.0255146368584937
10,13,0.02282166601224105
10,14,0.028931255302450203
10,15,0.0417275063270724
10,23,0.0325271489256038
11,1,0.02383754217486755
11,2,0.0153054842507699
11,3,0.09059753107425987
11,4,0.08291465335350655
11,5,0.04355199217695543
11,6,0.06841172431466255
11,7,0.030720815765968027
11,8,0.04991958524095705
11,9,0.10690569074877287
11,10,0.01881963090016405
11,11,0.026851375492879852
11,12,0.050321093842427854
11,13,0.0158287282809946
11,14,0.01312976599631865
12,0,0.06258949766527248
12,1,0.0640093029973782
12,2,0.06041439150639033
12,3,0.07146234943107962
12,4,0.07745091822740617
12,5,0.031123131167768
12,6,0.051446379148984804
12,7,0.054316167487678875
12,8,0.05089355881050903
12,9,0.040537684552829946
12,10,0.06267331205863022
12,11,0.04670766827806986
12,12,0.051573197227973426
12,13,0.021910813062469024
12,14,0.0102365177485616
13,0,0.05204973123435501
13,1,0.04193617822675499
13,2,0.18957694914446227
13,3,0.10240983043638473
13,4,0.08358723977502848
13,5,0.10379445637590823
13,6,0.09053509479615905
13,7,0.09163580425217398
13,8,0.15345346719598058
13,9,0.03214901581774783
13,10,0.07208578914780704
13,11,0.12228909550911472
13,12,0.0707566834571087
13,13,0.050556464231069735
13,23,0.0516224760389296
14,1,0.0159296246093341
14,10,0.0062501576245411
15,0,0.03099985098979252
15,1,0.040935094899721705
15,2,0.0678431913827911
15,3,0.060213758101319924
15,4,0.05694502663384717
15,5,0.0510590027477571
15,6,0.0301650961228471
15,7,0.0432117029580425
15,8,0.0352940839854826
15,9,0.0264401279226587
15,10,0.0525943546897005
15,11,0.062428704021014525
15,12,0.028321987555458835
15,13,0.0176314857425541
15,14,0.0149326725127885
16,0,0.0109288373978678
16,1,0.022064967603331948
16,2,0.020220679872093097
16,3,0.0160679509334949
16,4,0.06827003226761585
16,5,0.09209551671751535
16,6,0.08386985027435502
16,7,0.24347382521055058
